item_description,store_number,store_bottles_sold,total_bottles_sold,perc
99 Peppermint Mini,2641,2,2,100.0
Arrow Spearmint Schnapps,3705,5,5,100.0
Avion Silver w/Powell & Mahoney Margarita Mix,2619,90,90,100.0
Bacardi Gold,2571,1,9,11.11111111111111
Bacardi Gold,3869,1,9,11.11111111111111
Bacardi Gold,3993,7,9,77.77777777777779
Bacardi Gold Mini,2593,12,20,60.0
Bacardi Gold Mini,3963,4,20,20.0
Bacardi Gold Mini,3993,4,20,20.0
Bacardi Gold Rum,4291,5,5,100.0
Bacardi Gold Rum Mini,2465,5,5,100.0
Bacardi Gold Rum PET,4971,102,102,100.0
Basil Hayden Dark Rye,2593,18,18,100.0
Cedar Ridge Single Malt Single Barrel Select,9001,90,90,100.0
Dekuyper Peachtree,3162,4,4,100.0
Dekuyper Triple Sec,2643,2,8,25.0
Dekuyper Triple Sec,5446,6,8,75.0
Di Amore Quattro Orange,2633,120,120,100.0
Everclear Alcohol,2647,36,39,92.3076923076923
Everclear Alcohol,4962,3,39,7.6923076923076925
Five O'clock Vodka,4559,30,80,37.5
Five O'clock Vodka,5204,48,80,60.0
Five O'clock Vodka,5244,2,80,2.5
Glen Oaks Whiskey Buy the Barrel,2633,66,66,100.0
HA Elijah Craig Cask Barrel Proof,2538,18,18,100.0
Hennessy VS,4057,48,120,40.0
Hennessy VS,4898,24,120,20.0
Hennessy VS,5113,24,120,20.0
Hennessy VS,5166,24,120,20.0
Hennessy Vs Cognac,4829,60,60,100.0
Jagermeister w/2 Shot Glasses,2665,84,84,100.0
Jameson,4153,60,60,100.0
Juarez Gold Dss,5102,1560,1560,100.0
Juarez Triple Sec,2512,60,498,12.048192771084338
Juarez Triple Sec,2601,6,498,1.2048192771084338
Juarez Triple Sec,3447,144,498,28.915662650602407
Juarez Triple Sec,4312,48,498,9.63855421686747
Juarez Triple Sec,4829,240,498,48.19277108433735
Kahlua Coffee,2178,1,83,1.2048192771084338
Kahlua Coffee,4867,7,83,8.433734939759036
Kahlua Coffee,5146,72,83,86.74698795180723
Kahlua Coffee,5416,3,83,3.614457831325301
Kahlua Coffee Liqueur,3447,240,240,100.0
Kamora Coffee Liqueur,2544,6,10,60.0
Kamora Coffee Liqueur,4167,4,10,40.0
Kapali Coffee Liqueur,3447,84,120,70.0
Kapali Coffee Liqueur,3549,36,120,30.0
Maestro Agavero Gold,2670,48,48,100.0
Martell VSSD,5003,2,2,100.0
Member's Mark Spiced Rum,3524,288,288,100.0
Montezuma Triple Sec,3385,216,216,100.0
Ole Smoky Apple Pie Moonshine 70prf Mini,4156,8,8,100.0
Ole Smoky Blackberry Moonshine Mini,2515,48,48,100.0
Ole Smoky Salty Caramel Whiskey,2515,18,18,100.0
Paramount Gold Rum,2616,24,33,72.72727272727273
Paramount Gold Rum,2843,7,33,21.21212121212121
Paramount Gold Rum,4152,2,33,6.0606060606060606
Paramount Sloe Gin,4158,4,4,100.0
Paramount Triple Sec,2591,4,4,100.0
Paul Masson Peach Grande Amber Brandy,2636,24,48,50.0
Paul Masson Peach Grande Amber Brandy,3772,24,48,50.0
Phillips Root Beer Schnapps,2576,4,4,100.0
Pinnacle Peach w/ Punch Dispenser,2571,180,180,100.0
Platinum 7x Vodka,2587,48,48,100.0
Remy Martin VSOP,3772,24,24,100.0
Saints N Sinners Apple Pie,4136,108,108,100.0
Seagrams Extra Smooth,5063,24,24,100.0
Templeton Rye,2512,18,18,100.0
Titos Vodka,2562,108,108,100.0
Tortilla Gold Dss,2522,48,888,5.405405405405405
Tortilla Gold Dss,2633,72,888,8.108108108108109
Tortilla Gold Dss,3494,768,888,86.48648648648648
